ResponseId_id,dimension_id,dimension,construct_id,construct,score,industry_synthetic,country_synthetic,continent_synthetic,role_synthetic
MAR_CAP_0062,1,Strategy and Vision,1,Strategic Alignment,3.5,Manufacturing,France,Asia,Staff
MAR_CAP_0063,1,Strategy and Vision,1,Strategic Alignment,4.9,Technology,Canada,North America,Staff
MAR_CAP_0064,1,Strategy and Vision,1,Strategic Alignment,4.1,Manufacturing,United Kingdom,Europe,IT & Data
MAR_CAP_0065,1,Strategy and Vision,1,Strategic Alignment,4.9,Healthcare,Canada,Europe,Staff
MAR_CAP_0066,1,Strategy and Vision,1,Strategic Alignment,3.2,Manufacturing,United States,Asia,Management
MAR_CAP_0067,1,Strategy and Vision,1,Strategic Alignment,2.5,Technology,Australia,Africa,Staff
MAR_CAP_0068,1,Strategy and Vision,1,Strategic Alignment,2.6,Technology,Germany,North America,Staff
MAR_CAP_0069,1,Strategy and Vision,1,Strategic Alignment,3.3,Manufacturing,Australia,Europe,Management
MAR_CAP_0070,1,Strategy and Vision,1,Strategic Alignment,4.2,Technology,United Kingdom,Europe,Staff
MAR_CAP_0071,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,France,Africa,Staff
MAR_CAP_0072,1,Strategy and Vision,1,Strategic Alignment,3.8,Retail,France,Asia,Staff
MAR_CAP_0073,1,Strategy and Vision,1,Strategic Alignment,3.3,Manufacturing,Canada,Africa,IT & Data
MAR_CAP_0074,1,Strategy and Vision,1,Strategic Alignment,3.5,Healthcare,France,Asia,Leadership
MAR_CAP_0075,1,Strategy and Vision,1,Strategic Alignment,3.5,Technology,Australia,North America,Leadership
MAR_CAP_0076,1,Strategy and Vision,1,Strategic Alignment,4.3,Manufacturing,Australia,Asia,Management
MAR_CAP_0077,1,Strategy and Vision,1,Strategic Alignment,3.4,Healthcare,Canada,Asia,Staff
MAR_CAP_0078,1,Strategy and Vision,1,Strategic Alignment,3.6,Manufacturing,Germany,North America,IT & Data
MAR_CAP_0079,1,Strategy and Vision,1,Strategic Alignment,3.3,Retail,Australia,Africa,Leadership
MAR_CAP_0080,1,Strategy and Vision,1,Strategic Alignment,2.6,Manufacturing,Australia,Asia,Management
MAR_CAP_0081,1,Strategy and Vision,1,Strategic Alignment,3.7,Retail,Germany,Asia,Management
MAR_CAP_0082,1,Strategy and Vision,1,Strategic Alignment,3.6,Technology,France,Asia,Management
MAR_CAP_0083,1,Strategy and Vision,1,Strategic Alignment,3.4,Healthcare,Germany,Europe,Leadership
MAR_CAP_0084,1,Strategy and Vision,1,Strategic Alignment,4.2,Manufacturing,United Kingdom,North America,IT & Data
MAR_CAP_0085,1,Strategy and Vision,1,Strategic Alignment,3.3,Financial Services,Germany,Europe,Management
MAR_CAP_0086,1,Strategy and Vision,1,Strategic Alignment,3.8,Technology,United States,Europe,IT & Data
MAR_CAP_0087,1,Strategy and Vision,1,Strategic Alignment,2.9,Retail,Canada,Africa,Leadership
MAR_CAP_0088,1,Strategy and Vision,1,Strategic Alignment,4.1,Financial Services,United Kingdom,Europe,Staff
MAR_CAP_0089,1,Strategy and Vision,1,Strategic Alignment,3.6,Manufacturing,Australia,Asia,Management
MAR_CAP_0090,1,Strategy and Vision,1,Strategic Alignment,3.2,Retail,Australia,North America,Management
MAR_CAP_0091,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,Germany,North America,Management
MAR_CAP_0092,1,Strategy and Vision,1,Strategic Alignment,3.7,Financial Services,Germany,North America,Management
MAR_CAP_0093,1,Strategy and Vision,1,Strategic Alignment,4.0,Healthcare,Germany,Europe,Staff
MAR_CAP_0094,1,Strategy and Vision,1,Strategic Alignment,4.2,Manufacturing,Germany,Asia,Leadership
MAR_CAP_0095,1,Strategy and Vision,1,Strategic Alignment,4.0,Manufacturing,Germany,North America,Leadership
MAR_CAP_0096,1,Strategy and Vision,1,Strategic Alignment,3.0,Financial Services,United States,Europe,Leadership
MAR_CAP_0097,1,Strategy and Vision,1,Strategic Alignment,3.2,Financial Services,Canada,North America,Staff
MAR_CAP_0098,1,Strategy and Vision,1,Strategic Alignment,3.6,Healthcare,Canada,Asia,IT & Data
MAR_CAP_0099,1,Strategy and Vision,1,Strategic Alignment,3.6,Financial Services,Germany,Africa,Leadership
MAR_CAP_0100,1,Strategy and Vision,1,Strategic Alignment,3.9,Healthcare,Canada,Europe,Management
MAR_CAP_0101,1,Strategy and Vision,1,Strategic Alignment,3.0,Retail,Australia,Europe,Leadership
MAR_CAP_0102,1,Strategy and Vision,1,Strategic Alignment,3.4,Manufacturing,France,Africa,Leadership
MAR_CAP_0103,1,Strategy and Vision,1,Strategic Alignment,3.5,Manufacturing,Canada,Europe,Staff
MAR_CAP_0104,1,Strategy and Vision,1,Strategic Alignment,4.2,Retail,Germany,Asia,IT & Data
MAR_CAP_0105,1,Strategy and Vision,1,Strategic Alignment,2.1,Technology,United States,Africa,Management
MAR_CAP_0106,1,Strategy and Vision,1,Strategic Alignment,2.6,Healthcare,Canada,Africa,Leadership
MAR_CAP_0107,1,Strategy and Vision,1,Strategic Alignment,4.1,Retail,France,Europe,IT & Data
MAR_CAP_0108,1,Strategy and Vision,1,Strategic Alignment,2.9,Financial Services,France,Asia,Staff
MAR_CAP_0109,1,Strategy and Vision,1,Strategic Alignment,3.0,Financial Services,Germany,Asia,Management
MAR_CAP_0110,1,Strategy and Vision,1,Strategic Alignment,3.8,Manufacturing,France,Europe,Staff
MAR_CAP_0111,1,Strategy and Vision,1,Strategic Alignment,3.3,Healthcare,Australia,Africa,Management
MAR_CAP_0112,1,Strategy and Vision,1,Strategic Alignment,2.7,Technology,Australia,North America,Management
MAR_CAP_0113,1,Strategy and Vision,1,Strategic Alignment,2.6,Retail,Germany,Asia,Leadership
MAR_CAP_0114,1,Strategy and Vision,1,Strategic Alignment,2.9,Healthcare,United States,Africa,Leadership
MAR_CAP_0115,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,Germany,Asia,Leadership
MAR_CAP_0116,1,Strategy and Vision,1,Strategic Alignment,3.4,Technology,France,Africa,Leadership
MAR_CAP_0117,1,Strategy and Vision,1,Strategic Alignment,3.4,Technology,Canada,Asia,IT & Data
MAR_CAP_0118,1,Strategy and Vision,1,Strategic Alignment,3.2,Financial Services,United Kingdom,Africa,Management
MAR_CAP_0119,1,Strategy and Vision,1,Strategic Alignment,4.1,Retail,Germany,North America,IT & Data
MAR_CAP_0120,1,Strategy and Vision,1,Strategic Alignment,3.7,Manufacturing,Australia,Asia,Staff
MAR_CAP_0121,1,Strategy and Vision,1,Strategic Alignment,3.4,Manufacturing,Australia,Asia,IT & Data
MAR_CAP_0122,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,United States,Africa,Management
MAR_CAP_0123,1,Strategy and Vision,1,Strategic Alignment,4.0,Manufacturing,United Kingdom,North America,Management
MAR_CAP_0124,1,Strategy and Vision,1,Strategic Alignment,3.1,Healthcare,United Kingdom,Asia,IT & Data
MAR_CAP_0125,1,Strategy and Vision,1,Strategic Alignment,3.6,Technology,Germany,Asia,Management
MAR_CAP_0126,1,Strategy and Vision,1,Strategic Alignment,4.0,Financial Services,United Kingdom,Asia,Staff
MAR_CAP_0127,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,United States,Africa,IT & Data
MAR_CAP_0128,1,Strategy and Vision,1,Strategic Alignment,4.6,Technology,Germany,Africa,Management
MAR_CAP_0129,1,Strategy and Vision,1,Strategic Alignment,3.3,Retail,Germany,Europe,IT & Data
MAR_CAP_0130,1,Strategy and Vision,1,Strategic Alignment,2.9,Retail,United Kingdom,Africa,Staff
MAR_CAP_0131,1,Strategy and Vision,1,Strategic Alignment,3.9,Retail,Canada,Asia,Leadership
MAR_CAP_0132,1,Strategy and Vision,1,Strategic Alignment,4.5,Retail,United Kingdom,Asia,IT & Data
MAR_CAP_0133,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,Germany,Africa,Management
MAR_CAP_0134,1,Strategy and Vision,1,Strategic Alignment,4.1,Financial Services,Germany,Africa,Management
MAR_CAP_0135,1,Strategy and Vision,1,Strategic Alignment,3.6,Financial Services,France,Europe,Leadership
MAR_CAP_0136,1,Strategy and Vision,1,Strategic Alignment,3.5,Healthcare,Germany,North America,IT & Data
MAR_CAP_0137,1,Strategy and Vision,1,Strategic Alignment,3.3,Manufacturing,Australia,Africa,Staff
MAR_CAP_0138,1,Strategy and Vision,1,Strategic Alignment,3.1,Healthcare,Germany,Africa,IT & Data
MAR_CAP_0139,1,Strategy and Vision,1,Strategic Alignment,2.5,Healthcare,Germany,North America,Staff
MAR_CAP_0140,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,United Kingdom,Europe,IT & Data
MAR_CAP_0141,1,Strategy and Vision,1,Strategic Alignment,3.3,Healthcare,Australia,Asia,Staff
MAR_CAP_0142,1,Strategy and Vision,1,Strategic Alignment,4.7,Manufacturing,France,Asia,Management
MAR_CAP_0143,1,Strategy and Vision,1,Strategic Alignment,2.5,Retail,United Kingdom,Asia,IT & Data
MAR_CAP_0144,1,Strategy and Vision,1,Strategic Alignment,2.6,Manufacturing,Australia,North America,Management
MAR_CAP_0145,1,Strategy and Vision,1,Strategic Alignment,4.0,Manufacturing,Australia,Europe,Staff
MAR_CAP_0146,1,Strategy and Vision,1,Strategic Alignment,4.2,Manufacturing,Canada,Europe,Staff
MAR_CAP_0147,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,Germany,Africa,IT & Data
MAR_CAP_0148,1,Strategy and Vision,1,Strategic Alignment,3.9,Retail,Australia,Africa,Management
MAR_CAP_0149,1,Strategy and Vision,1,Strategic Alignment,3.6,Retail,France,Asia,IT & Data
MAR_CAP_0150,1,Strategy and Vision,1,Strategic Alignment,4.0,Technology,United States,Africa,Leadership
MAR_CAP_0151,1,Strategy and Vision,1,Strategic Alignment,4.5,Healthcare,Germany,Europe,IT & Data
MAR_CAP_0152,1,Strategy and Vision,1,Strategic Alignment,3.7,Healthcare,United Kingdom,Africa,IT & Data
MAR_CAP_0153,1,Strategy and Vision,1,Strategic Alignment,3.8,Manufacturing,France,Asia,Leadership
MAR_CAP_0154,1,Strategy and Vision,1,Strategic Alignment,3.6,Manufacturing,United States,Europe,Leadership
MAR_CAP_0155,1,Strategy and Vision,1,Strategic Alignment,3.6,Retail,United Kingdom,Asia,IT & Data
MAR_CAP_0156,1,Strategy and Vision,1,Strategic Alignment,4.0,Healthcare,United States,Africa,IT & Data
MAR_CAP_0157,1,Strategy and Vision,1,Strategic Alignment,2.9,Manufacturing,Australia,Europe,IT & Data
MAR_CAP_0158,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,United Kingdom,North America,IT & Data
MAR_CAP_0159,1,Strategy and Vision,1,Strategic Alignment,3.6,Retail,Australia,Africa,Staff
MAR_CAP_0160,1,Strategy and Vision,1,Strategic Alignment,3.6,Financial Services,Australia,Asia,Management
MAR_CAP_0161,1,Strategy and Vision,1,Strategic Alignment,2.8,Technology,United States,Europe,Leadership
MAR_CAP_0162,1,Strategy and Vision,1,Strategic Alignment,3.5,Financial Services,United Kingdom,Europe,IT & Data
MAR_CAP_0163,1,Strategy and Vision,1,Strategic Alignment,3.4,Healthcare,United Kingdom,Asia,Management
MAR_CAP_0164,1,Strategy and Vision,1,Strategic Alignment,3.2,Technology,Canada,Africa,IT & Data
MAR_CAP_0165,1,Strategy and Vision,1,Strategic Alignment,3.3,Financial Services,United Kingdom,Asia,Staff
MAR_CAP_0166,1,Strategy and Vision,1,Strategic Alignment,3.0,Manufacturing,Canada,Asia,Staff
MAR_CAP_0167,1,Strategy and Vision,1,Strategic Alignment,3.7,Retail,United States,Europe,Leadership
MAR_CAP_0168,1,Strategy and Vision,1,Strategic Alignment,4.1,Manufacturing,France,Africa,Leadership
MAR_CAP_0169,1,Strategy and Vision,1,Strategic Alignment,3.5,Healthcare,Canada,North America,Management
MAR_CAP_0170,1,Strategy and Vision,1,Strategic Alignment,3.9,Healthcare,Germany,Africa,IT & Data
MAR_CAP_0171,1,Strategy and Vision,1,Strategic Alignment,3.9,Healthcare,United Kingdom,Europe,Leadership
MAR_CAP_0172,1,Strategy and Vision,1,Strategic Alignment,3.0,Healthcare,United Kingdom,Europe,Staff
MAR_CAP_0173,1,Strategy and Vision,1,Strategic Alignment,4.4,Retail,Australia,Asia,IT & Data
MAR_CAP_0174,1,Strategy and Vision,1,Strategic Alignment,4.0,Manufacturing,United States,Europe,Management
MAR_CAP_0175,1,Strategy and Vision,1,Strategic Alignment,3.8,Retail,United States,North America,Staff
MAR_CAP_0176,1,Strategy and Vision,1,Strategic Alignment,4.2,Manufacturing,United States,Africa,IT & Data
MAR_CAP_0177,1,Strategy and Vision,1,Strategic Alignment,3.8,Financial Services,Germany,North America,IT & Data
MAR_CAP_0178,1,Strategy and Vision,1,Strategic Alignment,2.5,Manufacturing,United States,Asia,Staff
MAR_CAP_0179,1,Strategy and Vision,1,Strategic Alignment,2.9,Healthcare,Australia,Europe,IT & Data
MAR_CAP_0180,1,Strategy and Vision,1,Strategic Alignment,3.7,Healthcare,United States,Asia,Leadership
MAR_CAP_0181,1,Strategy and Vision,1,Strategic Alignment,3.9,Retail,Germany,North America,Staff
MAR_CAP_0182,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,United States,Europe,Management
MAR_CAP_0183,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,United States,Africa,IT & Data
MAR_CAP_0184,1,Strategy and Vision,1,Strategic Alignment,2.9,Technology,United States,Africa,Staff
MAR_CAP_0185,1,Strategy and Vision,1,Strategic Alignment,3.5,Technology,United States,Asia,Leadership
MAR_CAP_0186,1,Strategy and Vision,1,Strategic Alignment,3.4,Financial Services,Australia,North America,Leadership
MAR_CAP_0187,1,Strategy and Vision,1,Strategic Alignment,3.8,Retail,United Kingdom,Africa,IT & Data
MAR_CAP_0188,1,Strategy and Vision,1,Strategic Alignment,3.2,Manufacturing,Australia,North America,IT & Data
MAR_CAP_0189,1,Strategy and Vision,1,Strategic Alignment,4.2,Healthcare,Canada,Asia,Leadership
MAR_CAP_0190,1,Strategy and Vision,1,Strategic Alignment,4.4,Retail,Germany,North America,Management
MAR_CAP_0191,1,Strategy and Vision,1,Strategic Alignment,3.6,Technology,Canada,North America,IT & Data
MAR_CAP_0192,1,Strategy and Vision,1,Strategic Alignment,2.8,Technology,United Kingdom,Asia,Management
MAR_CAP_0193,1,Strategy and Vision,1,Strategic Alignment,3.0,Retail,France,North America,Staff
MAR_CAP_0194,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,Australia,Europe,IT & Data
MAR_CAP_0195,1,Strategy and Vision,1,Strategic Alignment,3.1,Manufacturing,Germany,North America,Staff
MAR_CAP_0196,1,Strategy and Vision,1,Strategic Alignment,4.2,Retail,United States,North America,IT & Data
MAR_CAP_0197,1,Strategy and Vision,1,Strategic Alignment,3.6,Retail,Australia,North America,Staff
MAR_CAP_0198,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,Germany,Asia,IT & Data
MAR_CAP_0199,1,Strategy and Vision,1,Strategic Alignment,3.5,Retail,United Kingdom,North America,IT & Data
MAR_CAP_0200,1,Strategy and Vision,1,Strategic Alignment,3.6,Manufacturing,Germany,Africa,Leadership
MAR_CAP_0201,1,Strategy and Vision,1,Strategic Alignment,3.2,Financial Services,United Kingdom,Africa,Staff
MAR_CAP_0202,1,Strategy and Vision,1,Strategic Alignment,3.2,Technology,Germany,Africa,Leadership
MAR_CAP_0203,1,Strategy and Vision,1,Strategic Alignment,3.2,Retail,Germany,Europe,Leadership
MAR_CAP_0204,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,Canada,Africa,Management
MAR_CAP_0205,1,Strategy and Vision,1,Strategic Alignment,4.4,Manufacturing,Canada,North America,Leadership
MAR_CAP_0206,1,Strategy and Vision,1,Strategic Alignment,4.5,Technology,United States,Africa,Management
MAR_CAP_0207,1,Strategy and Vision,1,Strategic Alignment,3.0,Financial Services,United States,Africa,Staff
MAR_CAP_0208,1,Strategy and Vision,1,Strategic Alignment,4.0,Financial Services,United Kingdom,Africa,Leadership
MAR_CAP_0209,1,Strategy and Vision,1,Strategic Alignment,3.1,Healthcare,Australia,Africa,Leadership
MAR_CAP_0210,1,Strategy and Vision,1,Strategic Alignment,2.8,Financial Services,France,Asia,Leadership
MAR_CAP_0211,1,Strategy and Vision,1,Strategic Alignment,3.4,Technology,France,Africa,IT & Data
MAR_CAP_0212,1,Strategy and Vision,1,Strategic Alignment,2.9,Manufacturing,United States,Asia,Staff
MAR_CAP_0213,1,Strategy and Vision,1,Strategic Alignment,4.1,Technology,Australia,North America,Leadership
MAR_CAP_0214,1,Strategy and Vision,1,Strategic Alignment,3.8,Healthcare,France,North America,Staff
MAR_CAP_0215,1,Strategy and Vision,1,Strategic Alignment,3.2,Manufacturing,United States,North America,Leadership
MAR_CAP_0216,1,Strategy and Vision,1,Strategic Alignment,3.7,Manufacturing,France,Asia,Leadership
MAR_CAP_0217,1,Strategy and Vision,1,Strategic Alignment,3.4,Technology,United Kingdom,Africa,Staff
MAR_CAP_0218,1,Strategy and Vision,1,Strategic Alignment,4.3,Financial Services,United Kingdom,Europe,Leadership
MAR_CAP_0219,1,Strategy and Vision,1,Strategic Alignment,2.7,Financial Services,Australia,Africa,IT & Data
MAR_CAP_0220,1,Strategy and Vision,1,Strategic Alignment,4.1,Technology,France,Africa,Management
MAR_CAP_0221,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,France,Africa,IT & Data
MAR_CAP_0222,1,Strategy and Vision,1,Strategic Alignment,3.3,Financial Services,Canada,Europe,Management
MAR_CAP_0223,1,Strategy and Vision,1,Strategic Alignment,3.6,Healthcare,Australia,Europe,IT & Data
MAR_CAP_0224,1,Strategy and Vision,1,Strategic Alignment,3.9,Healthcare,Germany,Asia,Staff
MAR_CAP_0225,1,Strategy and Vision,1,Strategic Alignment,3.8,Retail,United States,Africa,IT & Data
MAR_CAP_0226,1,Strategy and Vision,1,Strategic Alignment,4.7,Healthcare,United Kingdom,Europe,Leadership
MAR_CAP_0227,1,Strategy and Vision,1,Strategic Alignment,3.8,Healthcare,Germany,Africa,Staff
MAR_CAP_0228,1,Strategy and Vision,1,Strategic Alignment,2.4,Manufacturing,Australia,North America,Management
MAR_CAP_0229,1,Strategy and Vision,1,Strategic Alignment,4.2,Manufacturing,Australia,Africa,IT & Data
MAR_CAP_0230,1,Strategy and Vision,1,Strategic Alignment,3.6,Technology,Australia,Europe,IT & Data
MAR_CAP_0231,1,Strategy and Vision,1,Strategic Alignment,4.3,Manufacturing,Australia,Africa,IT & Data
MAR_CAP_0232,1,Strategy and Vision,1,Strategic Alignment,3.7,Financial Services,France,Europe,Staff
MAR_CAP_0233,1,Strategy and Vision,1,Strategic Alignment,3.1,Technology,Germany,Africa,IT & Data
MAR_CAP_0234,1,Strategy and Vision,1,Strategic Alignment,3.5,Financial Services,France,Asia,Leadership
MAR_CAP_0235,1,Strategy and Vision,1,Strategic Alignment,3.6,Retail,Australia,Europe,Management
MAR_CAP_0236,1,Strategy and Vision,1,Strategic Alignment,3.4,Financial Services,Canada,Africa,Staff
MAR_CAP_0237,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,United Kingdom,North America,Staff
MAR_CAP_0238,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,Canada,North America,Management
MAR_CAP_0239,1,Strategy and Vision,1,Strategic Alignment,3.1,Financial Services,Germany,Africa,Leadership
MAR_CAP_0240,1,Strategy and Vision,1,Strategic Alignment,3.4,Retail,Australia,North America,Staff
MAR_CAP_0241,1,Strategy and Vision,1,Strategic Alignment,3.5,Healthcare,United Kingdom,North America,Management
MAR_CAP_0242,1,Strategy and Vision,1,Strategic Alignment,3.5,Retail,United Kingdom,Europe,Leadership
MAR_CAP_0243,1,Strategy and Vision,1,Strategic Alignment,3.1,Financial Services,France,Africa,Management
MAR_CAP_0244,1,Strategy and Vision,1,Strategic Alignment,4.6,Retail,Australia,Europe,Staff
MAR_CAP_0245,1,Strategy and Vision,1,Strategic Alignment,4.1,Technology,France,North America,Leadership
MAR_CAP_0246,1,Strategy and Vision,1,Strategic Alignment,3.2,Manufacturing,France,Asia,Staff
MAR_CAP_0247,1,Strategy and Vision,1,Strategic Alignment,2.8,Financial Services,Canada,Asia,IT & Data
MAR_CAP_0248,1,Strategy and Vision,1,Strategic Alignment,4.0,Financial Services,United States,Europe,Staff
MAR_CAP_0249,1,Strategy and Vision,1,Strategic Alignment,3.4,Manufacturing,United States,Europe,Staff
MAR_CAP_0250,1,Strategy and Vision,1,Strategic Alignment,3.9,Healthcare,France,Asia,Leadership
MAR_CAP_0251,1,Strategy and Vision,1,Strategic Alignment,4.1,Technology,Germany,Africa,Management
MAR_CAP_0252,1,Strategy and Vision,1,Strategic Alignment,3.1,Retail,Australia,Asia,IT & Data
